index	source_id	exact title	URL	year	venue/company	source_type	direction	priority	relevance
1	f276301c-3a6f-4093-a138-3a2ededb9232	A Long-term Value Prediction Framework In Video Ranking	https://arxiv.org/html/2602.17058	2026	Alibaba Group	industry paper	D1	1	Core
2	375b555a-6163-48ad-b6c8-e4e05def5ec2	Multi-Objective Ranking for Live-Streaming: Balancing Fresh and Delayed Signals with Segment-Aware Targeting	https://arxiv.org/html/2608.04455v1	2026	Twitch Interactive (RecSys '26)	industry paper	D1	1	Core
3	1e68c505-0626-4803-ab0a-293a5ca548af	A Generative Re-ranking Model for List-level Multi-objective Optimization at Taobao	https://doi.org/10.1145/3726302.3731935	2025	SIGIR	industry paper	D1	1	Related
4	da625059-d4d2-4065-9d44-6a9fe8a1cfba	xMTF: A Formula-Free Model for Reinforcement-Learning-Based Multi-Task Fusion in Recommender Systems	https://arxiv.org/html/2504.05669v1	2025	Kuaishou / WWW	industry paper	D1	1	Core — verified from source text
5	53250d02-7287-46f6-9fc7-c7afe931b690	LiRank: Industrial Large Scale Ranking Models at LinkedIn	https://arxiv.org/pdf/2402.06859	2024	LinkedIn	industry paper	D1	1	Related
6	e69a0fca-4086-4f0f-9da9-97887d0d6c59	Multi-objective Learning to Rank by Model Distillation	https://doi.org/10.1145/3637528.3671597	2024	KDD	industry paper	D1	1	Related
7	a32f27cc-d656-437c-8c7a-5090569572ce	Optimizing Airbnb Search Journey with Multi-task Learning	https://doi.org/10.1145/3580305.3599881	2023	KDD	industry paper	D1	1	Related
8	f11ef30f-1525-43fc-a365-f8318ea62e93	Scaling the Instagram Explore recommendations system	https://engineering.fb.com/2023/08/09/ml-applications/scaling-instagram-explore-recommendations-system/	2023	Engineering at Meta	company blog	D1	1	Related
9	e19bb1d6-433d-460d-a8f5-2b0a2eed5b07	Leveraging Dwell Time to Improve Member Experiences on the LinkedIn Feed	https://www.linkedin.com/blog/engineering/feed/leveraging-dwell-time-to-improve-member-experiences-on-the-linkedin-feed	2020	LinkedIn	company blog	D1	1	Core
10	f3865b86-af82-4689-bede-d274881b5f83	Multi-Objective Ranking Optimization for Product Search Using Stochastic Label Aggregation	https://doi.org/10.1145/3366423.3380122	2020	WWW	industry paper	D1	1	Related
11	ea19556b-36f9-42a7-ab79-6549c3d77729	Multi-task Learning and Calibration for Utility-based Home Feed Ranking	https://medium.com/pinterest-engineering/multi-task-learning-and-calibration-for-utility-based-home-feed-ranking-64087a7bcbad	2020	Pinterest Engineering	company blog	D1	1	Core — verified by source page and shared queue
12	f461ed13-1164-4d28-90f9-51e7132d2acb	Understanding dwell time to improve LinkedIn feed ranking	https://www.linkedin.com/blog/engineering/feed/understanding-feed-dwell-time	2020	LinkedIn	company blog	D1	1	Core
13	670273a1-bfae-4b62-94a7-dac93de83f9d	A Pareto-Eficient Algorithm for Multiple Objective Optimization in E-Commerce Recommendation	https://doi.org/10.1145/3298689.3346998	2019	RecSys	industry paper	D1	1	Related
14	1dfea171-462b-4880-aea0-af1b6556c05f	Powered by AI: Instagram's Explore Recommender System	https://engineering.fb.com/2023/08/09/ml-applications/scaling-instagram-explore-recommendations-system/	2018	Meta AI	company blog	D1	1	Related — inferred from notebook source and shared queue
15	3aa95e7d-b724-4750-8924-22fee68db14a	Multitask Mixture of Sequential Experts for User Activity Streams	https://doi.org/10.1145/3394486.3403359	2020	KDD	industry paper	D1/D5	1	Related
16	a130cd67-9f8e-488b-b844-aa91ba854ef2	Recommending What Video to Watch Next: A Multitask Ranking System	https://doi.org/10.1145/3298689.3346997	2019	RecSys	industry paper	D1/D5	1	Related
